,UMAP_1,UMAP_2
cell_00756,-1.7089795,7.037744
cell_00757,8.898508,-5.772596
cell_00758,-6.418072,2.3551576
cell_00759,2.5969913,3.9670079
cell_00760,6.5342693,-3.245973
cell_00761,-4.8255987,3.6373434
cell_00762,-6.1814494,1.8072623
cell_00763,-4.7707925,3.966537
cell_00764,9.959586,-1.6411101
cell_00765,-6.0835495,1.0054575
cell_00766,-4.4075985,4.330307
cell_00767,-6.471449,1.1497004
cell_00768,-3.835855,3.6034997
cell_00769,6.1386943,-2.2230175
cell_00770,-4.150754,4.9325633
cell_00771,5.129734,-0.95589745
cell_00772,6.19157,-1.9512525
