,UMAP_1,UMAP_2,UMAP_3
cell_00509,-2.5935764,4.7613616,3.2238586
cell_00510,-2.9065747,4.0912824,3.974032
cell_00511,10.978962,-3.8523843,-0.56695867
cell_00512,-3.2734187,4.443313,4.910966
cell_00513,-0.55543053,5.0574665,3.2268631
cell_00514,1.0171404,6.3582044,2.1204123
cell_00515,-1.5823158,5.1222763,3.9150653
cell_00516,1.2063824,6.891218,2.7025042
cell_00517,10.769419,-1.2295462,-1.2139244
cell_00518,-4.539791,3.0959644,4.8271484
cell_00519,9.865991,-3.4764788,-0.16057916
cell_00520,10.449369,-2.1240098,0.6135776
cell_00521,2.8643215,6.6890206,2.274221
cell_00522,-1.0436556,5.0823708,3.0540102
cell_00523,9.407051,1.437469,-0.37619376
cell_00524,-2.4552476,4.7298446,4.402826
cell_00525,1.958833,6.8045535,2.1989782
cell_00526,11.000209,-3.6073942,-0.4126771
cell_00527,10.746113,-4.030103,-1.4706162
cell_00528,10.170887,-2.9866736,-0.39652258
cell_00529,0.55055773,5.915467,2.9383113
cell_00530,10.849865,-1.3007524,-1.1834096
cell_00531,11.424277,-0.69710803,0.1377732
cell_00532,4.206278,6.303104,1.7767384
cell_00533,9.79555,-1.3923596,-0.90883434
cell_00534,-4.1504354,3.8740904,4.3938866
cell_00535,-0.2789291,5.0652657,3.092315
cell_00536,8.179337,2.580311,-0.02847934
cell_00537,-1.331224,5.343596,3.5826733
cell_00538,-1.4006954,5.1571875,2.8264256
cell_00539,11.342671,-2.288064,1.7483209
cell_00540,11.55801,-2.4380236,2.0884435
cell_00541,8.773969,1.883734,-1.1440816
cell_00542,11.46177,-1.7222799,1.5821569
cell_00543,11.386485,-1.8018674,1.8991016
cell_00544,-1.2193736,5.4475465,3.8117247
cell_00545,6.0020456,5.743759,0.96707016
cell_00546,3.01749,6.827167,1.5621647
cell_00547,-3.09249,4.9922676,4.375756
cell_00548,11.707748,-0.70469475,1.7497808
cell_00549,4.5236716,6.1847296,0.9271839
cell_00550,7.1315784,4.4695716,0.52466124
cell_00551,-1.991975,5.146834,2.8377676
cell_00552,-2.3392706,5.8363476,3.2515972
cell_00553,10.244706,-3.1510243,-0.80626535
cell_00554,-4.037699,3.6327524,4.37407
cell_00555,-0.6548331,5.7786465,3.724876
cell_00556,-0.22302249,6.743814,3.4439058
cell_00557,8.353706,3.5207083,0.10412862
cell_00558,8.898599,1.1038343,-0.78560483
cell_00559,7.0747423,4.375655,-0.41659257
cell_00560,-1.9983304,5.659071,4.2153254
cell_00561,-0.54101884,6.275135,3.9509656
cell_00562,10.06041,-3.4713044,-0.8193687
cell_00563,10.28314,-1.2576923,-1.270451
cell_00564,10.675241,-0.75464034,-0.38786188
cell_00565,10.400299,0.18022507,1.3730134
cell_00566,10.98169,-1.3370771,2.6521652
cell_00567,-3.927177,3.722739,4.01116
cell_00568,2.7498147,7.09883,1.8300755
cell_00569,8.9299555,1.9897643,-0.5170019
cell_00570,1.6040747,6.552576,2.0340438
cell_00571,11.104974,-3.0791016,0.95829934
cell_00572,7.489326,4.7084026,0.10864924
cell_00573,10.802516,-2.339508,-1.355686
cell_00574,11.726977,-1.8537213,2.0915582
cell_00575,7.9849987,3.9119525,-0.010731607
cell_00576,11.500583,-2.3049579,0.16329095
cell_00577,9.955761,0.6207452,0.88223153
cell_00578,10.770451,-2.3878753,1.7360911
cell_00579,1.2427993,6.8317885,2.8922653
